endpoint,date,incidents,downtime_min
riksarkivet_nad_se_ula_12231,2025-10-03,1,26.43
riksarkivet_nad_se_ula_12231,2025-10-10,1,28.77
riksarkivet_nad_se_ula_12231,2025-10-16,2,31.5
riksarkivet_nad_se_ula_12231,2025-11-07,1,34.52
riksarkivet_nad_se_ula_12231,2025-11-13,1,28.85
riksarkivet_nad_se_ula_12231,2025-11-18,1,603.97
riksarkivet_nad_se_ula_12231,2025-11-19,1,603.97
riksarkivet_nad_se_ula_12231,2025-11-20,1,20.43
riksarkivet_nad_se_ula_12231,2025-11-25,1,24.3
riksarkivet_nad_se_ula_12231,2025-12-01,1,18.77
riksarkivet_nad_se_ula_12231,2025-12-04,1,21.35
riksarkivet_nad_se_ula_12231,2025-12-05,2,168.26999999999998
riksarkivet_nad_se_ula_12231,2025-12-09,1,26.47
riksarkivet_nad_se_ula_12231,2025-12-11,2,130.25
riksarkivet_nad_se_ula_12231,2025-12-14,1,10.05
riksarkivet_nad_se_ula_12231,2025-12-15,1,10.65
riksarkivet_nad_se_ula_12231,2025-12-16,1,30.6
riksarkivet_nad_se_ula_12231,2025-12-18,1,29.5
riksarkivet_nad_se_ula_12231,2025-12-20,1,7.83
